"scenario_id","param","estimator","R","coverage","n_miss","n_miss_lo","n_miss_hi","mean_bias","median_bias","mean_abs_bias","mean_width","median_width","rel_bias","miss_lo_pct","miss_hi_pct","noncov_pct","asymmetry","miss_direction","cov_recentered","total_gap","bias_gap","width_gap","pct_bias","pct_width"
"S0","tau_ext","E_WS",200,3,194,194,0,0.397140134873537,0.382719228229375,0.397264811145462,0.4298867354025,0.4238231805,68.8171158775483,97,0,97,1,"below",4,87,1,86,1.14942528735632,98.8505747126437
"S0","tau_ext","E_WT",200,3,194,194,0,0.397140134873537,0.382719228229375,0.397264811145462,0.4298867354025,0.4238231805,68.8171158775483,97,0,97,1,"below",4,87,1,86,1.14942528735632,98.8505747126437
"S0","tau_int","E_UW",200,91,18,2,16,-0.0137413130906744,-0.0185269511900625,0.0289418902665819,0.1342815085275,0.13191322,-6.60392405284288,1,8,9,0.777777777777778,"above",89,-1,-2,1,NA,NA
"S0","tau_int","E_WS",200,8,184,184,0,0.146990227103344,0.14359140985375,0.146990227103344,0.1544363871025,0.1535862215,70.6418877071789,92,0,92,1,"below",9,82,1,81,1.21951219512195,98.780487804878
"S0","tau_int","E_WT",200,8,184,184,0,0.146990227103344,0.14359140985375,0.146990227103344,0.1544363871025,0.1535862215,70.6418877071789,92,0,92,1,"below",9,82,1,81,1.21951219512195,98.780487804878
"S3","alpha_poverty","E_UW",200,89.5,21,2,19,-0.0196781860774067,-0.0204843345384219,0.0292697807679945,0.11864714155005,0.118753184475,-16.5171364949946,1,9.5,10.5,0.80952380952381,"above",90,0.5,0.5,0,100,0
"S3","alpha_poverty","E_WS",200,82,36,10,26,-0.0153519937562092,-0.01540906575375,0.0578150469564539,0.20592256841176,0.204707286366514,-12.8858917861717,5,13,18,0.444444444444444,"above",82,8,0,8,0,100
"S3","alpha_poverty","E_WT",200,58.5,83,31,52,-0.0153519937562092,-0.01540906575375,0.0578150469564539,0.120334529188185,0.12025243105,-12.8858917861717,15.5,26,41.5,0.253012048192771,"above",58,31.5,-0.500000000000007,32,-1.58730158730161,101.587301587302
"S3","beta_poverty","E_UW",200,89,22,1,21,-0.00955072937753785,-0.0102085897942044,0.0134641957223412,0.05365222622562,0.053701463075,-16.71168744976,0.5,10.5,11,0.909090909090909,"above",89,1,0,1,0,100
"S3","beta_poverty","E_WS",200,82.5,35,17,18,-0.00185706722747249,-0.00231834539694125,0.0254771854756642,0.0920450463012827,0.0918306258712365,-3.24946146539369,8.5,9,17.5,0.0285714285714286,"above",82.5,7.5,0,7.5,0,100
"S3","beta_poverty","E_WT",200,62.5,75,31,44,-0.00185706722747249,-0.00231834539694125,0.0254771854756642,0.055990239229276,0.055944708675,-3.24946146539369,15.5,22,37.5,0.173333333333333,"above",62.5,27.5,0,27.5,0,100
"S3","log_kappa","E_UW",200,92,16,2,14,-0.00887871611856254,-0.00980772855625001,0.0168004977703125,0.071029411625,0.0709942825000002,-0.53655158460083,1,7,8,0.75,"above",92,-2,0,-2,NA,NA
"S3","log_kappa","E_WS",200,60.5,79,79,0,0.0548287631835626,0.05840069786875,0.0584243286355626,0.131812830427381,0.130899275265876,3.31336866445585,39.5,0,39.5,1,"below",60.5,29.5,0,29.5,0,100
"S3","log_kappa","E_WT",200,34,132,130,2,0.0548287631835626,0.05840069786875,0.0584243286355626,0.07541986885,0.0754416200000001,3.31336866445585,65,1,66,0.96969696969697,"below",34.5,56,0.5,55.5,0.892857142857143,99.1071428571429
"S3","tau_ext","E_UW",200,98,4,3,1,0.0459224301532125,0.038609526889375,0.070524496038825,0.40226198701,0.39852163325,7.95751655329061,1.5,0.5,2,0.5,"below",98,-8,0,-8,NA,NA
"S3","tau_ext","E_WS",200,0.5,199,199,0,0.60940388960485,0.60068889219125,0.60940388960485,0.518567910115,0.511977866,105.598539166836,99.5,0,99.5,1,"below",0.5,89.5,0,89.5,0,100
"S3","tau_ext","E_WT",200,0.5,199,199,0,0.60940388960485,0.60068889219125,0.60940388960485,0.518567910115,0.511977866,105.598539166836,99.5,0,99.5,1,"below",0.5,89.5,0,89.5,0,100
"S3","tau_int","E_UW",200,97.5,5,2,3,-0.0179636770971194,-0.0251784622281875,0.0331791068838956,0.16041104145375,0.15615064075,-8.63314579009765,1,1.5,2.5,0.2,"above",95,-7.5,-2.5,-5,NA,NA
"S3","tau_int","E_WS",200,0,200,200,0,0.203070090603287,0.199644960056875,0.203070090603287,0.1694638783875,0.16719108675,97.5932537814125,100,0,100,1,"below",0,90,0,90,0,100
"S3","tau_int","E_WT",200,0,200,200,0,0.203070090603287,0.199644960056875,0.203070090603287,0.1694638783875,0.16719108675,97.5932537814125,100,0,100,1,"below",0,90,0,90,0,100
"S4","alpha_poverty","E_UW",200,92.5,15,0,15,-0.024391210660281,-0.0277990622099938,0.029997709282397,0.125338477383725,0.125164214975,-20.4730737970093,0,7.5,7.5,1,"above",92.5,-2.5,0,-2.5,NA,NA
"S4","alpha_poverty","E_WS",200,86,28,9,19,-0.014206725615765,-0.0150208712475375,0.0664458099159655,0.244091752187514,0.241609723695769,-11.9245963636833,4.5,9.5,14,0.357142857142857,"above",86,4,0,4,0,100
"S4","alpha_poverty","E_WT",200,53,94,34,60,-0.014206725615765,-0.0150208712475375,0.0664458099159655,0.118655142166207,0.11844721137,-11.9245963636833,17,30,47,0.276595744680851,"above",53,37,0,37,0,100
"S4","beta_poverty","E_UW",200,91,18,0,18,-0.0124239499832579,-0.0128315762766832,0.014218588916139,0.0527568986796465,0.0527710995,-21.7391950713174,0,9,9,1,"above",92,-1,1,-2,NA,NA
"S4","beta_poverty","E_WS",200,84,32,18,14,-0.00123074666705427,-0.000806977069615685,0.0280419517654847,0.104997270207728,0.103105331165118,-2.15353747516058,9,7,16,0.125,"below",84,6,0,6,0,100
"S4","beta_poverty","E_WT",200,56.5,87,40,47,-0.00123074666705427,-0.000806977069615685,0.0280419517654847,0.05489561288785,0.054953530425,-2.15353747516058,20,23.5,43.5,0.0804597701149425,"above",56.5,33.5,0,33.5,0,100
"S4","log_kappa","E_UW",200,90.5,19,19,0,0.0136996810871875,0.0131176482000001,0.0159170211368125,0.068077493675,0.0679940999999998,0.82788834530803,9.5,0,9.5,1,"below",90.5,-0.5,0,-0.5,NA,NA
"S4","log_kappa","E_WS",200,57,86,86,0,0.0673737315011875,0.0643181063125,0.0705207552466875,0.150851096708594,0.149981527523257,4.07147631647509,43,0,43,1,"below",57,33,0,33,0,100
"S4","log_kappa","E_WT",200,23,154,151,3,0.0673737315011875,0.0643181063125,0.0705207552466875,0.0737667671,0.073861425,4.07147631647509,75.5,1.5,77,0.961038961038961,"below",23.5,67,0.5,66.5,0.746268656716418,99.2537313432836
"S4","tau_ext","E_UW",200,77,46,46,0,0.152768304424975,0.143054856285625,0.154063855696112,0.4167183258975,0.41136479625,26.4719507923262,23,0,23,1,"below",83,13,6,7,46.1538461538462,53.8461538461538
"S4","tau_ext","E_WS",200,0,200,200,0,0.635840674610813,0.61390687607125,0.635840674610813,0.52715979905,0.51764858275,110.17955009328,100,0,100,1,"below",0,90,0,90,0,100
"S4","tau_ext","E_WT",200,0,200,200,0,0.635840674610813,0.61390687607125,0.635840674610813,0.52715979905,0.51764858275,110.17955009328,100,0,100,1,"below",0,90,0,90,0,100
"S4","tau_int","E_UW",200,97,6,4,2,-0.00144271039913101,-0.00880539154018752,0.0329553020693814,0.1766679173705,0.176346355,-0.693350762277133,2,1,3,0.333333333333333,"below",95.5,-7,-1.5,-5.5,NA,NA
"S4","tau_int","E_WS",200,0,200,200,0,0.21622873303205,0.21164306321,0.21622873303205,0.17297889397,0.1703874855,103.917152717755,100,0,100,1,"below",0,90,0,90,0,100
"S4","tau_int","E_WT",200,0,200,200,0,0.21622873303205,0.21164306321,0.21622873303205,0.17297889397,0.1703874855,103.917152717755,100,0,100,1,"below",0,90,0,90,0,100
