"Parameter","Cov E-UW","Cov E-WT","Cov E-WS","RB E-UW","RB E-WT","RB E-WS","RMSE E-UW","RMSE E-WT","RMSE E-WS","WR"
"Panel A: Non-informative (DEFF  2.0, R = 200)","","","","","","","","","",""
"","93.0","81.0*","88.5","+13.2","+4.9","+4.9","0.033","0.044","0.044","1.22"
"","93.0","76.5*","86.5","-9.0","-4.8","-4.8","0.016","0.022","0.022","1.22"
"","91.5","64.0*","76.5*","-0.8","+1.6","+1.6","0.023","0.040","0.040","1.31"
"","97.5*","3.0*","3.0*","+9.6","+68.8","+68.8","0.082","0.423","0.423","1.00"
"","91.0","8.0*","8.0*","-6.6","+70.6","+70.6","0.036","0.158","0.158","1.00"
"Panel B: NSECE-calibrated (DEFF  3.8, R = 200)","","","","","","","","","",""
"","89.5","58.5*","82.0*","+16.5","+12.9","+12.9","0.037","0.072","0.072","1.71"
"","89.0","62.5*","82.5*","-16.7","-3.2","-3.2","0.017","0.032","0.032","1.64"
"","92.0","34.0*","60.5*","-0.5","+3.3","+3.3","0.020","0.068","0.068","1.75"
"","98.0*","0.5*","0.5*","+8.0","+105.6","+105.6","0.091","0.639","0.639","1.00"
"","97.5*","0.0*","0.0*","-8.6","+97.6","+97.6","0.040","0.211","0.211","1.00"
"Panel C: Highly informative (stress test) (DEFF  5.0, R = 200)","","","","","","","","","",""
"","92.5","53.0*","86.0","+20.5","+11.9","+11.9","0.036","0.083","0.083","2.06"
"","91.0","56.5*","84.0*","-21.7","-2.2","-2.2","0.017","0.035","0.035","1.91"
"","90.5","23.0*","57.0*","+0.8","+4.1","+4.1","0.020","0.083","0.083","2.04"
"","77.0*","0.0*","0.0*","+26.5","+110.2","+110.2","0.175","0.671","0.671","1.00"
"","97.0*","0.0*","0.0*","-0.7","+103.9","+103.9","0.043","0.225","0.225","1.00"
