"Margin","Parameter","svyglm_est","svyglm_se","HBB_est","HBB_sand_se","DER","diff_est","ratio_se"
"Extensive","Intercept",0.661559595606686,0.0631187690859807,0.764312111930425,0.0444516409327302,2.04027172095231,0.102752516323739,0.704253925994311
"Extensive","Poverty",-0.198577829130509,0.0705561265655076,-0.32356736071019,0.0524092664981654,2.40822733759186,-0.124989531579681,0.742802490007812
"Extensive","Urban",0.233672099940742,0.0387605599708257,0.441871969831562,0.0343405421559757,4.1802357413747,0.20819986989082,0.88596610012402
"Extensive","Black",0.0861708603119472,0.0753415434065077,0.478227784829295,0.0441767505394689,1.54163054349468,0.392056924517347,0.586353139875458
"Extensive","Hispanic",0.0592141610321309,0.0739386180064182,0.00553238896459753,0.0514501206415071,1.81831621510229,-0.0536817720675334,0.695849097923916
"Intensive","Intercept",0.483154203402069,0.00502487598374181,-0.242265383202613,0.0151508406180968,1.36372995521977,-0.725419586604682,3.01516707419604
"Intensive","Poverty",0.0151919335482956,0.00683167303080796,0.0902173993573075,0.0189173241004993,1.6054936823213,0.0750254658090119,2.76906169472546
"Intensive","Urban",-0.00906217140386008,0.00444501714954316,-0.04719022596338,0.0205654851117848,3.17506768771876,-0.0381280545595199,4.6266379678419
"Intensive","Black",0.0335244408683056,0.00790883253924103,-0.016691507423615,0.0182215397828594,1.38484378840766,-0.0502159482919206,2.30394811022361
"Intensive","Hispanic",0.0100214537809461,0.00573445741349092,-0.0968585923031775,0.0167495657659168,1.13596538038389,-0.106880046084124,2.92086322352166
